코드 번호	회사명	업종 (대)	코드 번호	코드 번호
A327260	RF머트리얼즈	통신	KQ	327260
A014620	성광벤드	기계	KQ	14620
A050120	ES큐브	레저산업	KQ	50120
A003560	IHQ	미디어 및 엔터	KS	3560
A156100	엘앤케이바이오	의료기기 및 용품	KQ	156100
A192410	THQ	통신	KQ	192410
A214180	민앤지	IT서비스	KQ	214180
A075130	플랜티넷	IT서비스	KQ	75130
A189690	포시에스	IT서비스	KQ	189690
A027970	세하	종이 및 용기	KS	27970
A170030	현대공업	자동차 및 관련부품	KQ	170030
A352770	클리노믹스	제약 및 바이오	KQ	352770
A093640	다믈멀티미디어	반도체 관련장비 및 부품	KQ	93640
A028100	동아지질	건설 및 건축자재	KS	28100
A356860	티엘비	반도체 관련장비 및 부품	KQ	356860
A123040	엠에스오토텍	자동차 및 관련부품	KQ	123040
A014790	한라	건설 및 건축자재	KS	14790
A012620	원일특강	철강 및 비철강	KQ	12620
A079940	가비아	IT서비스	KQ	79940
A103590	일진전기	전기 및 전자기기	KS	103590
A000640	동아쏘시오홀딩스	지주사	KS	640
A205100	엑셈	IT서비스	KQ	205100
A033560	블루콤	IT 장비 및 소재	KQ	33560
A052900	KMH하이텍	반도체 관련장비 및 부품	KQ	52900
A037460	삼지전자	통신	KQ	37460
A317400	자이에스앤디	건설 및 건축자재	KS	317400
A302550	리메드	의료기기 및 용품	KQ	302550
A003650	미창석유	석유 및 가스	KS	3650
A300120	라온피플	IT 장비 및 소재	KQ	300120
A000180	성창기업지주	지주사	KS	180
A900140	엘브이엠씨홀딩스	지주사	KS	900140
A039020	이건홀딩스	지주사	KQ	39020
A090370	메타랩스	섬유 및 의류	KS	90370
A376190	엘비루셈	반도체 관련장비 및 부품	KQ	376190
A263800	데이타솔루션	IT서비스	KQ	263800
A159580	제로투세븐	유아동산업	KQ	159580
A065500	오리엔트정공	자동차 및 관련부품	KQ	65500
A155650	와이엠씨	디스플레이 장비 및 부품	KQ	155650
A001500	현대차증권	금융	KS	1500
A019570	리더스 기술투자	금융	KQ	19570
A348150	고바이오랩	제약 및 바이오	KQ	348150
A065150	엠피대산	식음료	KQ	65150
A148250	알엔투테크놀로지	IT 장비 및 소재	KQ	148250
A109860	동일금속	기계	KQ	109860
A187220	디티앤씨	전기 및 전자기기	KQ	187220
A192440	슈피겐코리아	IT 장비 및 소재	KQ	192440
A065710	서호전기	운송 및 물류	KQ	65710
A014940	오리엔탈정공	조선	KQ	14940
A003300	한일홀딩스	지주사	KS	3300
A078150	HB테크놀러지	디스플레이 장비 및 부품	KQ	78150
A002030	아세아	지주사	KS	2030
A066130	하츠	건설 및 건축자재	KQ	66130
A082640	동양생명	금융	KS	82640
A076610	해성옵틱스	IT 장비 및 소재	KQ	76610
A066700	테라젠이텍스	제약 및 바이오	KQ	66700
A244920	에이플러스에셋	금융	KS	244920
A271980	제일약품	제약 및 바이오	KS	271980
A105740	디케이락	기계	KQ	105740
A004360	세방	운송 및 물류	KS	4360
A034310	NICE	지주사	KS	34310
